,BID NO,items,Quantity Required,Department Name And Address,Start Date,End Date
86,GEM/2020/B/555030,Astronomical Timer For Street Light Control (Timer Controls),100,"Ministry Of Mines
Na
Alumina Refinery Nalco Damanjodi N/a",18-02-2020 04:23 PM,04-03-2020 05:00 PM
87,GEM/2020/B/541688,Mosquito Net LLINs,5000,"Ministry Of Home Affairs
Central Armed Police Forces
Directorate General National Security Guard (nsg)",12-02-2020 10:35 AM,04-03-2020 05:00 PM
88,GEM/2020/B/557819,Line Intractive UPS With AVR,12,"Rajasthan
Employment Department Rajasthan
Directorate Of Employment Directorate Of Employment",22-02-2020 10:54 AM,04-03-2020 06:00 PM
89,GEM/2020/B/557821,Multifunction Machines MFM,2,"Rajasthan
Employment Department Rajasthan
Directorate Of Employment Directorate Of Employment",22-02-2020 10:54 AM,04-03-2020 06:00 PM
90,GEM/2020/B/555271,Plotter Paper Roll,60,"Ministry Of Coal
Materials Management
Singrauli Northern Coalfields Limited",19-02-2020 10:32 AM,04-03-2020 06:00 PM
91,GEM/2020/B/555277,Random Access Memory,1,"Pmo
Na
Department Of Space, Isro N/a",19-02-2020 02:29 PM,04-03-2020 06:00 PM
92,GEM/2020/B/555278,LED Luminaire (For Road And Street Lights),250,"Jammu & Kashmir
Housing And Urban Development Department Jammu And Kashmir
Municipal N/a",19-02-2020 03:36 PM,04-03-2020 06:00 PM
93,GEM/2020/B/555291,Desktop Computers,61,"Ministry Of Human Resource Development
Department Of Higher Education
Karnataka, Surathkal, Mangaluru National Institute Of Technology (nit)",19-02-2020 09:10 AM,04-03-2020 06:00 PM
94,GEM/2020/B/562061,Chilly,847,"Ministry Of Defence
Department Of Defence
Amc Centre And College Lucknow Indian Army",22-02-2020 05:58 PM,04-03-2020 06:00 PM
95,GEM/2020/RA/34047,Laptop-Notebook,2,"Ministry Of Human Resource Development
Department Of Higher Education
Mandi At Kamand Indian Institute Of Technology (iit)",02-03-2020 06:32 PM,04-03-2020 06:00 PM
96,GEM/2020/RA/35460,Hopper Tipper Dumper,1,"Uttar Pradesh
Urban Development Department Uttar Pradesh
Unnao N/a",02-03-2020 06:07 PM,04-03-2020 06:00 PM
97,GEM/2020/B/548187,Plastic Bailing Machine,1,"Chhattisgarh
Urban Development Department Chhattisgarh
Municipal Council Kawardha N/a",13-02-2020 06:05 PM,04-03-2020 06:00 PM
98,GEM/2020/B/555318,Desktop Computers,1,"Ministry Of Labour And Employment
Na
Solapur Maharashtra Employees Provident Fund Organisation (epfo)",19-02-2020 09:42 AM,04-03-2020 06:00 PM
99,GEM/2020/B/555324,Paper Shredding Machines,2,"West Bengal
Finance Department West Bengal
Public Service Commission West Bengal Secretariat",19-02-2020 02:48 PM,04-03-2020 06:00 PM
